PLU_BTCH_NBR
OP_CODE
ITM_ID
STR_HIER_ID
DFLT_RTN_LOC_ID
MSG_CD
DSPL_DESCR
SLS_RESTRICT_GRP
RCPT_DESCR
TAXABILITY_CD
MDSE_XREF_ID
NON_MDSE_ID
UOM
UNT_QTY
LIN_ITM_CD
MD_FG
QTY_RQRD_FG
SUBPRD_CNT
QTY_ALLOWED_FG
SLS_AUTH_FG
FOOD_STAMP_FG
WIC_FG
PERPET_INV_FG
RTL_PRC
UNT_CST
MAN_PRC_LVL
MIN_MDSE_AMT
RTL_PRC_DATE
SERIALIZED_MDSE_FG
CNTR_PRC
MAX_MDSE_AMT
CNTR_PRC_DATE
NG_ENTRY_FG
STR_CPN_FG
VEN_CPN_FG
MAN_PRC_FG
WGT_ITM_FG
NON_DISC_FG
COST_PLUS_FG
PRC_VRFY_FG
PRC_OVRD_FG
SPLR_PROM_FG
SAVE_DISC_FG
ITM_ONSALE_FG
INHBT_QTY_FG
DCML_QTY_FG
SHELF_LBL_RQRD_FG
TAX_RATE1_FG
TAX_RATE2_FG
TAX_RATE3_FG
TAX_RATE4_FG
TAX_RATE5_FG
TAX_RATE6_FG
TAX_RATE7_FG
TAX_RATE8_FG
COST_CASE_PRC
DATE_COST_CASE_PRC
UNIT_CASE
MIX_MATCH_CD
RTN_CD
FAMILY_CD
SUBDEP_ID
DISC_CD
LBL_QTY
SCALE_FG
LOCAL_DEL_FG
HOST_DEL_FG
HEAD_OFFICE_DEP
WGT_SCALE_FG
FREQ_SHOP_OPTYPE
FREQ_SHOP_VAL
SEC_FAMILY
POS_MSG
SHELF_LIFE_DAY
PROM_NBR
BCKT_NBR
EXTND_PROM_NBR
EXTND_BCKT_NBR
RCPT_DESCR1
RCPT_DESCR2
RCPT_DESCR3
RCPT_DESCR4
CPN_NBR
TAR_WGT_NBR
RSTRCT_LAYOUT
INTRNL_ID
OLD_PRC
QDX_FREQ_SHOP_VAL
VND_ID
VND_ITM_ID
VND_ITM_SZ
CMPRTV_UOM
CMPR_QTY
CMPR_UNT
BNS_CPN_FG
EXCLUD_MIN_PURCH_FG
FUEL_FG
SPR_AUTH_RQRD_FG
SSP_PRDCT_FG
NU06_FG
NU07_FG
NU08_FG
NU09_FG
NU10_FG
FREQ_SHOP_LMT
ITM_STATUS
DEA_GRP
BNS_BY_OPCODE
BNS_BY_DESCR
COMP_TYPE
COMP_PRC
COMP_QTY
ASSUME_QTY_FG
EXCISE_TAX_NBR
RTL_PRICE_DATE
PRC_RSN_ID
ITM_POINT
PRC_GRP_ID
SWW_CODE_FG
SHELF_STOCK_FG
UPD_ORIGIN
UPD_BATCH_ID
UPD_USER_ID
CENTRAL_ITEM
NO_MMBR_CRD_POINTS_FG
PRNT_PLU_ID_RCPT_FG
BLK_GRP
TRSHOLD_MULTPLR
LBL_SIZE
PRINT_LABEL_FG
BS_UOM_ID
BS_UOM_AMT
CMPR_UOM_ID
CMPR_UOM_AMT
LBL_UOM
POS_RFND_MSG
FORECOURT_SERVICES_FG
VND_ITM_ID2
WEEKS_SUPPLY
MIN_ORDER_QTY
MAX_ORDER_QTY
ORDERABLE
INVENT_FG
SPECIAL_ORD_QTY
FREE_QTY
HO_INSTRUCT
DSCNT_LINE
PRDCT_GRDING
LOCATION1
LOCATION2
ALLW_SELL_BY_ITM_NBR_FG
NON_RFUND_FG
GENERAL_USE
LNK_ITM_ONLY_FG
DISC_VAL
TAX_ID_1
