Superdrug UK,12768,0424 WEEK 16,SDGB,17.04.2024,23.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
632103,1100,104,ORAL CARE,9,PASTE - MULTI,20,COLGATE TOTAL       ,COLGATE TOTAL ADVANCED DEEP CLEAN TOOTHPASTE 75ML,TOTAL ADVANCED DEEP CLEAN TOOTHPASTE 75ML,COLGATE,,TALKER_BEAUTY,75, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341182, ,131,Enhance Promotion,1,.1,4.99,4.99,0,0,,STARBUY MEMBERS ONLY PRICING,,,1,1,1,1,1,0,4.99,N,0,0,762,A (A Brand),0424 COLGATE STARBUY MEMBERS ONLY @£2.90 OR @£2.39,Y,,29-NOV-23,03-JAN-24,0,35,03-JAN-24,27-MAR-24,4.99,84,0,0,4.99,84,0,,N,4.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
632103,1100,104,ORAL CARE,9,PASTE - MULTI,20,COLGATE TOTAL       ,COLGATE TOTAL ADVANCED DEEP CLEAN TOOTHPASTE 75ML,TOTAL ADVANCED DEEP CLEAN TOOTHPASTE 75ML,COLGATE,,TALKER_FAMILY,75, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341182, ,131,Enhance Promotion,1,.1,4.99,4.99,0,0,,STARBUY MEMBERS ONLY PRICING,,,1,1,1,1,1,0,4.99,N,0,0,762,A (A Brand),0424 COLGATE STARBUY MEMBERS ONLY @£2.90 OR @£2.39,Y,,29-NOV-23,03-JAN-24,0,35,03-JAN-24,27-MAR-24,4.99,84,0,0,4.99,84,0,,N,4.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
632103,1100,104,ORAL CARE,9,PASTE - MULTI,20,COLGATE TOTAL       ,COLGATE TOTAL ADVANCED DEEP CLEAN TOOTHPASTE 75ML,TOTAL ADVANCED DEEP CLEAN TOOTHPASTE 75ML,COLGATE,,TALKER_LOCAL VALUE,75, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341182, ,131,Enhance Promotion,1,.1,4.99,4.99,0,0,,STARBUY MEMBERS ONLY PRICING,,,1,1,1,1,1,0,4.99,N,0,0,762,A (A Brand),0424 COLGATE STARBUY MEMBERS ONLY @£2.90 OR @£2.39,Y,,29-NOV-23,03-JAN-24,0,35,03-JAN-24,27-MAR-24,4.99,84,0,0,4.99,84,0,,N,4.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
721166,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D TEA TREE & PEPPERMINT FOOT PACK,TEA TREE & PEPPERMINT FOOT MOISTURISING PACK,SUPERDRUG,,TALKER_BEAUTY,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,764,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,26-DEC-16,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
721166,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D TEA TREE & PEPPERMINT FOOT PACK,TEA TREE & PEPPERMINT FOOT MOISTURISING PACK,SUPERDRUG,,TALKER_FAMILY,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,764,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,26-DEC-16,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
721166,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D TEA TREE & PEPPERMINT FOOT PACK,TEA TREE & PEPPERMINT FOOT MOISTURISING PACK,SUPERDRUG,,TALKER_LOCAL VALUE,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,764,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,26-DEC-16,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
721169,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D HONEY & ALMOND FOOT PACK,S/D HONEY & ALMOND FOOT PACK,SUPERDRUG,,TALKER_BEAUTY,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,766,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,26-DEC-16,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
721169,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D HONEY & ALMOND FOOT PACK,S/D HONEY & ALMOND FOOT PACK,SUPERDRUG,,TALKER_FAMILY,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,766,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,26-DEC-16,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
721169,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D HONEY & ALMOND FOOT PACK,S/D HONEY & ALMOND FOOT PACK,SUPERDRUG,,TALKER_LOCAL VALUE,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,766,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,26-DEC-16,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
745310,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D T/TREE & P/MINT CLIP STRIP SOCK PACK,TEA TREE & PEPPERMINT SOCK PACK,SUPERDRUG,,TALKER_BEAUTY,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,600,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,18-OCT-17,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
745310,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D T/TREE & P/MINT CLIP STRIP SOCK PACK,TEA TREE & PEPPERMINT SOCK PACK,SUPERDRUG,,TALKER_FAMILY,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,600,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,18-OCT-17,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
745310,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D T/TREE & P/MINT CLIP STRIP SOCK PACK,TEA TREE & PEPPERMINT SOCK PACK,SUPERDRUG,,TALKER_LOCAL VALUE,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,600,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,18-OCT-17,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
745312,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D HONEY & ALMOND CLIP STRIP SOCK PACK,HONEY & ALMOND CLIP STRIP SOCK PACK,SUPERDRUG,,TALKER_BEAUTY,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,622,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,18-OCT-17,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
745312,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D HONEY & ALMOND CLIP STRIP SOCK PACK,HONEY & ALMOND CLIP STRIP SOCK PACK,SUPERDRUG,,TALKER_FAMILY,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,622,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,18-OCT-17,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
745312,1100,203,FOOT CARE,3,FOOT TOILETRIES     ,6,S/D FOOT TOILTRIES  ,S/D HONEY & ALMOND CLIP STRIP SOCK PACK,HONEY & ALMOND CLIP STRIP SOCK PACK,SUPERDRUG,,TALKER_LOCAL VALUE,1, , ,each,131,MEDICINES & VITAMINS,340677, ,131,Enhance Promotion,1,1.5,1.99,1.99,0,0,,MEMBERS ONLY NOW £1.50 ON S/D FOOTSOCKS,,,1,1,1,1,1,0,1.99,N,0,0,622,P (Private Label),0424 MO STARBUY FOOTSOCKS NOW 1.50 WK 16,Y,,,,0,,18-OCT-17,31-DEC-99,0,,0,,1.99,,0,,,1.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
749558,1300,202,BABY,12,BABY WIPES          ,5,S/D C/SOFT WIPES    ,S/D MLS TODDLER TOILET WIPES X60,TODDLER TOILET WIPES X60,SUPERDRUG MY LITTLE STAR,,TALKER_BEAUTY,60, each, each,each,131,P WASH BABY & SANPRO,341325, ,131,Enhance Promotion,1,.65,.95,.95,0,0,,NOW 65P,,,1,1,1,1,1,0,.95,N,0,0,242,P (Private Label),0424 SD BABY SB WK16 MO NOW £0.65,Y,,23-AUG-23,30-AUG-23,0,7,30-AUG-23,28-FEB-24,.95,182,0,0,.95,182,0,,N,.95,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
749558,1300,202,BABY,12,BABY WIPES          ,5,S/D C/SOFT WIPES    ,S/D MLS TODDLER TOILET WIPES X60,TODDLER TOILET WIPES X60,SUPERDRUG MY LITTLE STAR,,TALKER_FAMILY,60, each, each,each,131,P WASH BABY & SANPRO,341325, ,131,Enhance Promotion,1,.65,.95,.95,0,0,,NOW 65P,,,1,1,1,1,1,0,.95,N,0,0,242,P (Private Label),0424 SD BABY SB WK16 MO NOW £0.65,Y,,23-AUG-23,30-AUG-23,0,7,30-AUG-23,28-FEB-24,.95,182,0,0,.95,182,0,,N,.95,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
749558,1300,202,BABY,12,BABY WIPES          ,5,S/D C/SOFT WIPES    ,S/D MLS TODDLER TOILET WIPES X60,TODDLER TOILET WIPES X60,SUPERDRUG MY LITTLE STAR,,TALKER_LOCAL VALUE,60, each, each,each,131,P WASH BABY & SANPRO,341325, ,131,Enhance Promotion,1,.65,.95,.95,0,0,,NOW 65P,,,1,1,1,1,1,0,.95,N,0,0,242,P (Private Label),0424 SD BABY SB WK16 MO NOW £0.65,Y,,23-AUG-23,30-AUG-23,0,7,30-AUG-23,28-FEB-24,.95,182,0,0,.95,182,0,,N,.95,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
755164,1400,104,ORAL CARE,16,BRUSH - MANUAL,17,COLGATE             ,COLGATE ZIG ZAG CHARCOAL TOOTHBRUSH 3PK,COLGATE ZIG ZAG CHARCOAL TOOTHBRUSH 3PK,COLGATE,,TALKER_BEAUTY,3, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341182, ,131,Enhance Promotion,1,.1,4.99,4.99,0,0,,STARBUY MEMBERS ONLY PRICING,,,1,1,1,1,1,0,4.99,N,0,0,504,A (A Brand),0424 COLGATE STARBUY MEMBERS ONLY @£2.90 OR @£2.39,Y,,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,4.99,28,0,0,4.99,28,0,,N,4.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
755164,1400,104,ORAL CARE,16,BRUSH - MANUAL,17,COLGATE             ,COLGATE ZIG ZAG CHARCOAL TOOTHBRUSH 3PK,COLGATE ZIG ZAG CHARCOAL TOOTHBRUSH 3PK,COLGATE,,TALKER_FAMILY,3, each, each,each,131,ORAL-DEO-BEAUTY ELEC,341182, ,131,Enhance Promotion,1,.1,4.99,4.99,0,0,,STARBUY MEMBERS ONLY PRICING,,,1,1,1,1,1,0,4.99,N,0,0,504,A (A Brand),0424 COLGATE STARBUY MEMBERS ONLY @£2.90 OR @£2.39,Y,,31-JAN-24,28-FEB-24,0,28,28-FEB-24,27-MAR-24,4.99,28,0,0,4.99,28,0,,N,4.99,Y,N,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
