Superdrug UK,12762,0424 FRAGRANCE,SDGB,27.03.2024,23.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
228281,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,40,CALVIN KLEIN        ,CK EUPHORIA W 50ML EDP,EUPHORIA EDP 50ML,CALVIN KLEIN,,TALKER_FAMILY,50,£92.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,46,0,0,0,,ONLY,,,1,1,1,1,1,0,46,N,0,0,715,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,46,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
228281,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,40,CALVIN KLEIN        ,CK EUPHORIA W 50ML EDP,EUPHORIA EDP 50ML,CALVIN KLEIN,,TALKER_LOCAL VALUE,50,£92.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,46,0,0,0,,ONLY,,,1,1,1,1,1,0,46,N,0,0,715,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,46,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
250701,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,386,MARC JACOBS,MARC JACOBS DOT 50ML EDP,DOT 50ML EDP,MARC JACOBS,,TALKER_BEAUTY,50,£80.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341150, ,000,Price Cut,1,,40,0,0,0,,ONLY,,,1,1,1,1,1,0,40,N,0,0,718,A (A Brand),**0424 FRAG SB ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,40,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
250701,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,386,MARC JACOBS,MARC JACOBS DOT 50ML EDP,DOT 50ML EDP,MARC JACOBS,,TALKER_FAMILY,50,£80.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341150, ,000,Price Cut,1,,40,0,0,0,,ONLY,,,1,1,1,1,1,0,40,N,0,0,718,A (A Brand),**0424 FRAG SB ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,40,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
250701,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,386,MARC JACOBS,MARC JACOBS DOT 50ML EDP,DOT 50ML EDP,MARC JACOBS,,TALKER_LOCAL VALUE,50,£80.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341150, ,000,Price Cut,1,,40,0,0,0,,ONLY,,,1,1,1,1,1,0,40,N,0,0,718,A (A Brand),**0424 FRAG SB ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,40,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
254560,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,41,DIESEL              ,DIESEL ONLY THE BRAVE EDT 125ML,ONLY THE BRAVE EDT 125ML,DIESEL,,TALKER_BEAUTY,125,£52.80 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,66,0,0,0,,ONLY,,,1,1,1,1,1,0,66,N,0,0,430,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,66,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
254560,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,41,DIESEL              ,DIESEL ONLY THE BRAVE EDT 125ML,ONLY THE BRAVE EDT 125ML,DIESEL,,TALKER_FAMILY,125,£52.80 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,66,0,0,0,,ONLY,,,1,1,1,1,1,0,66,N,0,0,430,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,66,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
254560,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,41,DIESEL              ,DIESEL ONLY THE BRAVE EDT 125ML,ONLY THE BRAVE EDT 125ML,DIESEL,,TALKER_LOCAL VALUE,125,£52.80 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,66,0,0,0,,ONLY,,,1,1,1,1,1,0,66,N,0,0,430,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,66,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
273500,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,121,JOOP                ,JOOP GO 200ML, Go 200ml EDT,JOOP Go 200ML EDT,,TALKER_BEAUTY,200,£16.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,32,0,0,0,,ONLY,,,1,1,1,1,1,0,32,N,0,0,309,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,32,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
273500,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,121,JOOP                ,JOOP GO 200ML, Go 200ml EDT,JOOP Go 200ML EDT,,TALKER_FAMILY,200,£16.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,32,0,0,0,,ONLY,,,1,1,1,1,1,0,32,N,0,0,309,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,32,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
273500,1100,207,MALE FINE FRAGRANCE,1,MALE FINE FRAGRANCE ,121,JOOP                ,JOOP GO 200ML, Go 200ml EDT,JOOP Go 200ML EDT,,TALKER_LOCAL VALUE,200,£16.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,32,0,0,0,,ONLY,,,1,1,1,1,1,0,32,N,0,0,309,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,32,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
275500,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,141,LANCOME             ,LANCOME LA VIE EST BELLE 30ML EDP,LA VIE EST BELLE 30ML EDP,LANCOME,,TALKER_BEAUTY,30,£183.33 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,55,0,0,0,,ONLY,,,1,1,1,1,1,0,55,N,0,0,274,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,55,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
275500,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,141,LANCOME             ,LANCOME LA VIE EST BELLE 30ML EDP,LA VIE EST BELLE 30ML EDP,LANCOME,,TALKER_FAMILY,30,£183.33 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,55,0,0,0,,ONLY,,,1,1,1,1,1,0,55,N,0,0,274,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,55,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
275500,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,141,LANCOME             ,LANCOME LA VIE EST BELLE 30ML EDP,LA VIE EST BELLE 30ML EDP,LANCOME,,TALKER_LOCAL VALUE,30,£183.33 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,55,0,0,0,,ONLY,,,1,1,1,1,1,0,55,N,0,0,274,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,55,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
284400,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,73,DOLCE GABBANA       ,DOLCE & GABBANA THE ONE EDP 50ML,THE ONE EDP 50ML,DOLCE & GABBANA,,TALKER_BEAUTY,50,£148.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,74,0,0,0,,ONLY,,,1,1,1,1,1,0,74,N,0,0,324,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,74,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
284400,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,73,DOLCE GABBANA       ,DOLCE & GABBANA THE ONE EDP 50ML,THE ONE EDP 50ML,DOLCE & GABBANA,,TALKER_FAMILY,50,£148.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,74,0,0,0,,ONLY,,,1,1,1,1,1,0,74,N,0,0,324,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,74,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
284400,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,73,DOLCE GABBANA       ,DOLCE & GABBANA THE ONE EDP 50ML,THE ONE EDP 50ML,DOLCE & GABBANA,,TALKER_LOCAL VALUE,50,£148.00 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,74,0,0,0,,ONLY,,,1,1,1,1,1,0,74,N,0,0,324,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,74,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
285051,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,336,JIMMY CHOO,JIMMY CHOO 60ML EDP,EDP 60ML,JIMMY CHOO,,TALKER_BEAUTY,60,£71.67 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,43,0,0,0,,ONLY,,,1,1,1,1,1,0,43,N,0,0,270,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,43,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
285051,1100,206,FEMALE FINE FRAG,1,FEMALE FINE FRAG    ,336,JIMMY CHOO,JIMMY CHOO 60ML EDP,EDP 60ML,JIMMY CHOO,,TALKER_FAMILY,60,£71.67 per 100ml, per 100ml,per 100ml,000,FRAGRANCE,341157, ,000,Price Cut,1,,43,0,0,0,,ONLY,,,1,1,1,1,1,0,43,N,0,0,270,A (A Brand),0424 FRAG EL ONLY NET,Y,Y,,,0,,,,0,,0,0,0,,43,,N,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
