Superdrug UK,12765,0424 WEEK 13,SDGB,27.03.2024,02.04.2024,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
item,item_status,dept,dept_name,class,class_name,subclass,sub_name,item_desc,item_long_desc,item_brand,model_no,promo_space,product_size,now price per uom,new_was_price_per_uom,uom,xx_prom_type,group_name,xx_prom_id,sku_band,offer_type,offer_desc,offer_qualify_qty,reward,now_price,new_was_price,new_was_was_price,save,bul_one,bul_two,bull_three,image,shelf_tags,no1,no2,no3,no4,0,now_price,new_sku_flag,blip_shelf,blip_position,no_of_stores,Brand_Cat,store_type(xx_prom_desc),data_available,feature_promotion,was_was_price_start_date,was_was_price_end_date,calculated_was_was_price,calculated_was_was_duration,was_price_start_date,was_price_end_date,calculated_was_price,calculated_was_price_duration,new_was_was_price,was_was_price_duration,new_was_price1,was_price_duration,promotion_price,duration_on_promotion_price,exception_flag,was_price_1,overlapping_promotion,overlapping_promo_missing_xppe,offer_code,reward_type_desc,buy_condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
756967,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER DELICATE 400ML,MICELLAR WATER 400ML,GARNIER,,TALKER_FAMILY,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,764,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,8.99,119,0,0,8.99,119,0,,N,8.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
756967,1100,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER DELICATE 400ML,MICELLAR WATER 400ML,GARNIER,,TALKER_LOCAL VALUE,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,764,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,01-NOV-23,29-NOV-23,0,28,29-NOV-23,27-MAR-24,8.99,119,0,0,8.99,119,0,,N,8.99,Y,N,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
758450,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? BALI BREEZE BODY MIST 200ML,BALI BREEZE BODY MIST 200ML,SO?,,TALKER_BEAUTY,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.49,6.49,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.49,N,0,0,766,A (A Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,6.49,,0,,,6.49,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
758450,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? BALI BREEZE BODY MIST 200ML,BALI BREEZE BODY MIST 200ML,SO?,,TALKER_FAMILY,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.49,6.49,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.49,N,0,0,766,A (A Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,6.49,,0,,,6.49,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
758450,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? BALI BREEZE BODY MIST 200ML,BALI BREEZE BODY MIST 200ML,SO?,,TALKER_LOCAL VALUE,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.49,6.49,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.49,N,0,0,766,A (A Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,6.49,,0,,,6.49,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
758452,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? IBIZA DREAMS BODY MIST 200ML,IBIZA DREAMS BODY MIST 200ML,SO?,,TALKER_BEAUTY,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.49,6.49,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.49,N,0,0,764,A (A Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,6.49,,0,,,6.49,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
758452,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? IBIZA DREAMS BODY MIST 200ML,IBIZA DREAMS BODY MIST 200ML,SO?,,TALKER_FAMILY,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.49,6.49,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.49,N,0,0,764,A (A Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,6.49,,0,,,6.49,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
758452,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? IBIZA DREAMS BODY MIST 200ML,IBIZA DREAMS BODY MIST 200ML,SO?,,TALKER_LOCAL VALUE,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.49,6.49,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.49,N,0,0,764,A (A Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,6.49,,0,,,6.49,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
758552,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? MIAMI VIBES BODY MIST 200ML,MIAMI VIBES BODY MIST 200ML,SO?,,TALKER_BEAUTY,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.99,6.99,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.99,N,0,0,767,X (Exclusive Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,19-APR-23,31-DEC-99,0,,0,,6.99,,0,,,6.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
758552,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? MIAMI VIBES BODY MIST 200ML,MIAMI VIBES BODY MIST 200ML,SO?,,TALKER_FAMILY,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.99,6.99,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.99,N,0,0,767,X (Exclusive Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,19-APR-23,31-DEC-99,0,,0,,6.99,,0,,,6.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
758552,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO...? MIAMI VIBES BODY MIST 200ML,MIAMI VIBES BODY MIST 200ML,SO?,,TALKER_LOCAL VALUE,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.99,6.99,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.99,N,0,0,767,X (Exclusive Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,19-APR-23,31-DEC-99,0,,0,,6.99,,0,,,6.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
764642,1400,86,SKIN - FACIAL,15,WIPES               ,43,S/D ESSENTIALS,S/D BIODEGRAD FACIAL CLEANSING WIPES 25,BIODEGRAD FACIAL CLEANSING WIPES 25,SUPERDRUG,,TALKER_BEAUTY,25, each, each,each,131,SKINCARE,341197,F,131,Enhance Promotion,3,1,.15,.15,0,0,,3 FOR 2 MEMBERS ONLY,,,1,1,1,1,1,0,.15,N,0,0,6,P (Private Label),0424 WIPES 3 FOR 2 MO SB,Y,,,,0,,27-SEP-23,31-DEC-99,0,,0,,.15,,0,,,.15,N,,9999,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
764642,1400,86,SKIN - FACIAL,15,WIPES               ,43,S/D ESSENTIALS,S/D BIODEGRAD FACIAL CLEANSING WIPES 25,BIODEGRAD FACIAL CLEANSING WIPES 25,SUPERDRUG,,TALKER_FAMILY,25, each, each,each,131,SKINCARE,341197,F,131,Enhance Promotion,3,1,.15,.15,0,0,,3 FOR 2 MEMBERS ONLY,,,1,1,1,1,1,0,.15,N,0,0,6,P (Private Label),0424 WIPES 3 FOR 2 MO SB,Y,,,,0,,27-SEP-23,31-DEC-99,0,,0,,.15,,0,,,.15,N,,9999,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
764642,1400,86,SKIN - FACIAL,15,WIPES               ,43,S/D ESSENTIALS,S/D BIODEGRAD FACIAL CLEANSING WIPES 25,BIODEGRAD FACIAL CLEANSING WIPES 25,SUPERDRUG,,TALKER_LOCAL VALUE,25, each, each,each,131,SKINCARE,341197,F,131,Enhance Promotion,3,1,.15,.15,0,0,,3 FOR 2 MEMBERS ONLY,,,1,1,1,1,1,0,.15,N,0,0,6,P (Private Label),0424 WIPES 3 FOR 2 MO SB,Y,,,,0,,27-SEP-23,31-DEC-99,0,,0,,.15,,0,,,.15,N,,9999,Free item,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
775026,1400,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER MILK 400ML,MICELLAR WATER MILK 400ML,GARNIER,,TALKER_BEAUTY,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,42,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,8.99,,0,,,8.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
775026,1400,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER MILK 400ML,MICELLAR WATER MILK 400ML,GARNIER,,TALKER_FAMILY,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,42,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,8.99,,0,,,8.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
775026,1400,86,SKIN - FACIAL,6,FACIAL CLEANSING    ,109,GARNIER             ,GARNIER MICELLAR WATER MILK 400ML,MICELLAR WATER MILK 400ML,GARNIER,,TALKER_LOCAL VALUE,400, per 100ml, per 100ml,per 100ml,131,SKINCARE,342844, ,131,Enhance Promotion,1,4.49,8.99,8.99,0,0,,1/2 PRICE,,,1,1,1,1,1,0,8.99,N,0,0,42,A (A Brand),0424 SB WK13 GARNIER MICELLAR HP (4.49),Y,,,,0,,14-JUN-23,31-DEC-99,0,,0,,8.99,,0,,,8.99,N,,9999,New Price,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
777999,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO¿? BARCELONA BABE BODY MIST 200ML,BARCELONA BABE BODY MIST 200ML,SO?,,TALKER_BEAUTY,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.99,6.99,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.99,N,0,0,767,X (Exclusive Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,19-APR-23,31-DEC-99,0,,0,,6.99,,0,,,6.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
777999,1100,23,DEODORANTS,19,FEMALE BODY MISTS,5,SO...? BODY MISTS,SO¿? BARCELONA BABE BODY MIST 200ML,BARCELONA BABE BODY MIST 200ML,SO?,,TALKER_FAMILY,200, per 100ml, per 100ml,per 100ml,131,ORAL-DEO-BEAUTY ELEC,341057, ,131,Enhance Promotion,1,.5,6.99,6.99,0,0,,NOW £3.49 ON SO..? SUMMER ESCAPES WEEK 13 STARBUY,,,1,1,1,1,1,0,6.99,N,0,0,767,X (Exclusive Brand),0424 SO..? SUMMER ESCAPES BODY MISTS 200ML NOW £3.49 WEEK 13 STARBUY,Y,,,,0,,19-APR-23,31-DEC-99,0,,0,,6.99,,0,,,6.99,N,,9999,Cash,Units,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
